0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	30.0	30.0
27	30.0	30.0
28	30.0	30.0
29	30.0	30.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
21	60.0	60.0
22	60.0	60.0
23	60.0	60.0
24	60.0	60.0
25	60.0	60.0
26	60.0	60.0
27	60.0	60.0
28	60.0	60.0
29	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
21	60.0	60.0
22	60.0	60.0
23	60.0	60.0
24	60.0	60.0
25	60.0	60.0
26	60.0	60.0
27	60.0	60.0
28	60.0	60.0
29	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
21	60.0	60.0
22	60.0	60.0
23	60.0	60.0
24	60.0	60.0
25	60.0	60.0
26	60.0	60.0
27	60.0	60.0
28	60.0	60.0
29	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	36.0	60.0
20	30.0	30.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	60.0	90.0
27	45.0	60.0
28	45.0	60.0
29	45.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
21	60.0	60.0
22	60.0	60.0
23	60.0	60.0
24	60.0	60.0
25	60.0	60.0
26	60.0	60.0
27	60.0	60.0
28	60.0	60.0
29	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
21	60.0	60.0
22	60.0	60.0
23	60.0	60.0
24	60.0	60.0
25	60.0	60.0
26	60.0	60.0
27	60.0	60.0
28	60.0	60.0
29	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	60.0	90.0
27	45.0	60.0
28	45.0	60.0
29	45.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	30.0	30.0
19	60.0	60.0
20	60.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	60.0	90.0
27	45.0	60.0
28	45.0	60.0
29	45.0	60.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	60.0	90.0
27	45.0	60.0
28	45.0	60.0
29	45.0	60.0
30	30.0	30.0
31	30.0	30.0
32	30.0	30.0
33	30.0	30.0
34	75.0	120.0
35	60.0	90.0
36	60.0	90.0
37	60.0	90.0
38	30.0	30.0
39	30.0	30.0
40	30.0	30.0
41	30.0	30.0
42	90.0	150.0
43	75.0	120.0
44	75.0	120.0
45	75.0	120.0
46	30.0	30.0
47	30.0	30.0
48	30.0	30.0
49	30.0	30.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	30.0	30.0
10	30.0	30.0
11	30.0	30.0
12	30.0	30.0
13	30.0	30.0
14	30.0	30.0
15	30.0	30.0
16	30.0	30.0
17	30.0	30.0
18	35.0	60.0
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	60.0	90.0
27	45.0	60.0
28	45.0	60.0
29	45.0	60.0
30	30.0	30.0
31	30.0	30.0
32	30.0	30.0
33	30.0	30.0
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
0	NaN	-Infinity
1	NaN	-Infinity
2	NaN	-Infinity
3	NaN	-Infinity
4	NaN	-Infinity
5	NaN	-Infinity
6	NaN	-Infinity
7	NaN	-Infinity
8	NaN	-Infinity
9	NaN	-Infinity
10	NaN	-Infinity
11	NaN	-Infinity
12	NaN	-Infinity
13	NaN	-Infinity
14	NaN	-Infinity
15	NaN	-Infinity
16	NaN	-Infinity
17	NaN	-Infinity
18	NaN	-Infinity
19	30.0	30.0
20	30.0	30.0
21	30.0	30.0
22	30.0	30.0
23	30.0	30.0
24	30.0	30.0
25	30.0	30.0
26	30.0	30.0
27	30.0	30.0
28	30.0	30.0
29	30.0	30.0
30	30.0	30.0
31	30.0	30.0
32	30.0	30.0
33	30.0	30.0
34	30.0	30.0
35	30.0	30.0
